                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 1.5426,                 1.3564,                 2.0199,                0.82733,                0.71053,                0.78081,                0.42328,                 1.7309,                 1.2264,                 2.1601,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.4694,                 1.2404,                 1.9534,                0.84894,                0.55263,                0.70454,                0.34248,                 1.7742,                   1.44,                 2.3074,               0.001109,               0.001109,               0.001109
                     48,                 1.5308,                 1.3146,                 1.9875,                0.84632,                0.60526,                0.69888,                0.36139,                 1.9665,                 1.2839,                 2.5943,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.5472,                 1.3029,                 1.9973,                0.85982,                 0.6459,                0.77974,                0.45451,                  1.738,                 1.2425,                 2.3441,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.5251,                 1.2943,                 1.9663,                0.84176,                0.55263,                0.68876,                0.41637,                 1.9533,                 1.3146,                 2.6218,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.4832,                 1.2925,                 1.8999,                 0.9536,                0.57895,                0.68473,                0.37502,                 1.8339,                 1.2865,                 2.4244,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.5285,                 1.2784,                 1.9924,                0.78493,                0.57636,                0.71371,                0.39505,                 1.9237,                 1.3962,                 2.3577,                0.00101,                0.00101,                0.00101
                     53,                 1.4492,                 1.2329,                  1.937,                0.83982,                0.55194,                0.67395,                0.29547,                  2.076,                 1.5419,                 2.7122,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.5917,                  1.331,                 2.0092,                0.74863,                0.62711,                0.68594,                0.38815,                 1.8342,                 1.2909,                 2.4664,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.4555,                 1.2571,                 1.9372,                0.78968,                0.59309,                0.73274,                 0.4426,                 1.8342,                 1.3303,                 2.4566,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.4646,                  1.183,                 1.9439,                0.83536,                0.57895,                0.67228,                0.40288,                 1.6944,                 1.2816,                 2.3136,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.4239,                 1.2677,                 1.8577,                0.66047,                0.52632,                0.64491,                0.37511,                 1.7352,                 1.4484,                 2.4231,               0.000911,               0.000911,               0.000911
                     58,                 1.4823,                 1.2013,                 1.9395,                0.66547,                0.65789,                0.67626,                0.38885,                  1.745,                 1.2512,                 2.3249,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.4469,                 1.2328,                   1.93,                0.74589,                 0.6954,                0.75937,                0.43037,                 1.6091,                 1.0823,                 2.3758,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.3706,                  1.249,                 1.8534,                0.83126,                0.64839,                0.76993,                 0.4819,                 1.6271,                 1.0398,                 2.3477,              0.0008516,              0.0008516,              0.0008516
                     61,                  1.413,                 1.1382,                 1.9302,                0.85552,                0.68421,                0.79375,                 0.4709,                 1.7727,                 1.0199,                 2.4736,              0.0008318,              0.0008318,              0.0008318
                     62,                  1.342,                 1.1454,                 1.8538,                0.91781,                0.58797,                0.76945,                0.43069,                 1.7727,                 1.2011,                 2.1383,               0.000812,               0.000812,               0.000812
                     63,                 1.4101,                 1.1732,                 1.8744,                0.91437,                0.65789,                0.81094,                0.51957,                 1.3564,                0.90217,                 1.9494,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.4165,                 1.1861,                 1.8485,                0.77332,                0.78947,                0.84572,                0.51159,                 1.5696,                 1.0304,                 2.1895,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.3662,                 1.1562,                 1.8415,                0.96533,                0.73282,                0.85774,                 0.4795,                 1.5499,                 1.1157,                 2.0098,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.3644,                 1.1663,                 1.8381,                 0.8343,                0.71053,                0.82835,                0.47394,                 1.4995,                  1.023,                 2.0469,              0.0007328,              0.0007328,              0.0007328
                     67,                  1.295,                 1.0889,                 1.7788,                0.51061,                0.82379,                0.62861,                0.38274,                 1.6163,                 1.2726,                 2.1467,               0.000713,               0.000713,               0.000713
                     68,                 1.2605,                 1.0152,                 1.7321,                0.66565,                0.78947,                0.77396,                0.46329,                 1.5573,                 1.1143,                 2.1404,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.3109,                 1.0999,                 1.7974,                0.77944,                0.68421,                0.67731,                0.38095,                  1.546,                 1.0579,                 2.2451,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.3305,                  1.174,                 1.8446,                0.73033,                0.71053,                0.73633,                0.44223,                 1.4191,                 1.0578,                 2.0086,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.3337,                  1.165,                 1.7762,                0.93318,                0.68421,                0.84812,                 0.5306,                 1.5262,                0.93096,                 2.2281,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.3039,                 1.0569,                  1.762,                0.75208,                0.73684,                0.79576,                0.48796,                 1.6239,                 1.0436,                    2.3,               0.000614,               0.000614,               0.000614
                     73,                 1.2155,                 0.9793,                 1.7197,                0.87612,                0.73684,                0.82531,                0.51021,                 1.6399,                0.94405,                 2.3213,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.3116,                 1.0369,                 1.7726,                0.91416,                0.71053,                0.83008,                0.49143,                 1.7922,                 1.0095,                 2.4135,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.3465,                 1.0905,                 1.7816,                0.93533,                0.76131,                0.84971,                0.53415,                 1.4914,                0.95531,                 1.9992,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.2354,                 1.0018,                 1.6922,                0.86371,                0.63158,                0.74856,                0.46581,                 1.6022,                0.92738,                 2.3684,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.2716,                 1.0773,                  1.765,                0.73137,                0.73684,                0.78085,                0.47493,                 1.5616,                0.88996,                 2.2732,               0.000515,               0.000515,               0.000515
                     78,                 1.2309,                 1.0286,                 1.7146,                0.88605,                0.65789,                0.80251,                0.50079,                 1.4531,                0.92431,                  2.125,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.2136,                0.98969,                 1.6761,                0.83857,                0.71053,                0.82582,                0.48795,                  1.406,                0.95192,                 2.1305,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.2348,                0.98423,                 1.7221,                0.78953,                0.71053,                0.78423,                0.50403,                 1.5992,                0.89871,                 2.2527,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.2344,                 1.0227,                 1.7183,                0.82315,                0.71053,                0.82167,                0.49616,                 1.6598,                0.86193,                 2.3065,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.2172,                 0.9758,                 1.6604,                0.65584,                0.81579,                0.75438,                0.48082,                 1.4215,                0.97844,                  2.186,               0.000416,               0.000416,               0.000416
                     83,                 1.1863,                0.95082,                 1.6568,                0.67098,                0.76316,                0.73678,                0.43675,                 1.4952,                 1.1178,                  2.154,              0.0003962,              0.0003962,              0.0003962
                     84,                  1.242,                0.98311,                 1.7224,                0.66412,                0.84211,                0.80548,                0.49908,                 1.4735,                0.84398,                 2.2174,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.1518,                 1.0149,                 1.5972,                0.77744,                0.81579,                0.86251,                0.53782,                 1.4083,                0.89174,                  1.978,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.1842,                0.96013,                 1.6788,                 0.8648,                0.76316,                0.83749,                0.51688,                 1.4706,                 0.8673,                 2.1467,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.1999,                0.93569,                 1.6697,                0.69232,                0.78947,                  0.788,                0.48123,                 1.6019,                0.88993,                 2.3091,               0.000317,               0.000317,               0.000317
                     88,                 1.1905,                0.93718,                 1.6481,                0.81361,                0.76316,                0.84221,                0.52864,                 1.4493,                0.87501,                 2.1069,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.1683,                0.96572,                 1.6679,                0.75753,                0.74001,                0.81339,                0.50008,                 1.5145,                0.91329,                 2.1594,              0.0002774,              0.0002774,              0.0002774
